iter	Logloss	Accuracy
0	0.3007996296	0.9426282663
1	0.2305382137	0.9426282663
2	0.1899610549	0.9426282663
3	0.1773389658	0.9430478734
4	0.1730822749	0.9469006294
5	0.1675781229	0.9480450124
6	0.1626445985	0.9491893954
7	0.1610389638	0.9495708564
8	0.1593417806	0.950181194
9	0.1585285624	0.9504100706
10	0.1575392997	0.9512111387
11	0.1571620169	0.951325577
12	0.1560300694	0.9516688919
13	0.1557144916	0.9518977685
14	0.154994381	0.9520503529
15	0.1546599794	0.9522410833
16	0.1541246404	0.9523555216
17	0.1531944278	0.9527369826
18	0.1528289232	0.9528514209
19	0.152620813	0.952889567
20	0.1523676944	0.9527369826
21	0.151860844	0.9530802975
22	0.1511637844	0.9541483883
23	0.1507058081	0.9542246805
24	0.1504596117	0.9543009727
25	0.1499194782	0.9547205798
26	0.1486709678	0.9553690635
27	0.1480879684	0.9558649628
28	0.1474695553	0.9557505245
29	0.1472077037	0.9558268167
30	0.146869132	0.9562464238
31	0.14622376	0.9566660309
32	0.146046032	0.9565134465
33	0.145273435	0.956704177
34	0.1446881766	0.9569711997
35	0.1443080506	0.9572000763
36	0.1439362492	0.957467099
37	0.1438674656	0.957085638
38	0.1431079723	0.9575433912
39	0.1426764133	0.957467099
40	0.1423226636	0.9575433912
41	0.1419730048	0.9576959756
42	0.1414946175	0.9578104139
43	0.1412676091	0.9580011444
44	0.140882817	0.9583826054
45	0.1407348243	0.9584970437
46	0.1402947899	0.9584207515
47	0.1397706602	0.958230021
48	0.1395632554	0.9584588976
49	0.138985233	0.9585351898
50	0.1384807672	0.9588022125
51	0.1380035348	0.9587640664
52	0.1373150165	0.9590310891
53	0.136824162	0.9592981118
54	0.1366519776	0.9593362579
55	0.1364298241	0.9596032806
56	0.1357230436	0.9598703033
57	0.1352817534	0.9599084494
58	0.1348842041	0.960137326
59	0.134101605	0.9605950792
60	0.1334180982	0.9603662026
61	0.133232806	0.9603280565
62	0.1330326903	0.9603280565
63	0.1328780562	0.9604806409
64	0.1326560134	0.9607476636
65	0.1323761057	0.9609002479
66	0.1320294895	0.960938394
67	0.1317334668	0.9613961472
68	0.1312891589	0.9613961472
69	0.1311053236	0.9615105855
70	0.130645813	0.9618920465
71	0.130531881	0.9620446309
72	0.1302175222	0.9616631699
73	0.1300035248	0.9615487316
74	0.1295895856	0.9617394621
75	0.1294721618	0.9619683387
76	0.1292546793	0.9618157543
77	0.1289607558	0.9618920465
78	0.1285836763	0.9618920465
79	0.1283009741	0.9620446309
80	0.1280209591	0.9621209231
81	0.1276352442	0.9622353614
82	0.1274577597	0.9623116536
83	0.1271341581	0.9624260919
84	0.1267617338	0.9623497997
85	0.1266817169	0.9624260919
86	0.1260972921	0.962464238
87	0.1259766452	0.9626168224
