iter	Passed	Remaining
0	38	38366
1	89	44692
2	115	38482
3	149	37251
4	167	33348
5	290	48053
6	319	45320
7	337	41855
8	390	43032
9	443	43950
10	473	42540
11	497	40983
12	554	42121
13	593	41791
14	654	42976
15	683	42004
16	735	42518
17	771	42116
18	830	42871
19	897	43969
20	983	45866
21	1037	46129
22	1082	45994
23	1159	47163
24	1219	47557
25	1286	48201
26	1350	48668
27	1402	48670
28	1454	48686
29	1494	48316
30	1537	48074
31	1595	48260
32	1658	48587
33	1734	49292
34	1787	49279
35	1834	49127
36	1871	48719
37	1911	48384
38	1957	48236
39	2004	48108
40	2061	48227
41	2099	47892
42	2144	47730
43	2192	47647
44	2242	47596
45	2306	47843
46	2353	47720
47	2395	47510
48	2444	47436
49	2488	47272
50	2540	47275
51	2602	47441
52	2669	47690
53	2731	47853
54	2781	47790
55	2856	48160
56	2931	48491
57	2975	48326
58	3032	48366
59	3084	48325
60	3135	48263
61	3180	48116
62	3251	48357
63	3308	48381
64	3370	48487
65	3435	48610
66	3505	48821
67	3593	49253
68	3667	49486
69	3745	49755
70	3807	49820
71	3890	50141
72	3943	50077
73	4007	50145
74	4053	49995
75	4115	50035
76	4175	50049
77	4250	50243
78	4308	50232
79	4394	50540
80	4465	50667
81	4560	51057
82	4638	51247
83	4722	51502
84	4791	51573
85	4846	51505
86	4904	51471
87	5055	52394
88	5148	52697
89	5212	52704
90	5342	53370
91	5443	53728
92	5530	53933
93	5599	53969
94	5692	54229
95	5773	54367
96	5832	54297
97	5922	54511
98	5993	54542
99	6058	54529
100	6125	54526
101	6193	54527
102	6281	54706
103	6331	54546
104	6387	54445
105	6456	54457
106	6511	54342
107	6579	54339
108	6640	54284
109	6707	54272
110	6791	54395
111	6874	54502
112	6960	54640
113	7075	54986
114	7142	54962
115	7214	54980
116	7279	54937
117	7341	54873
118	7412	54875
119	7471	54789
120	7535	54740
121	7625	54879
122	7694	54863
123	7787	55013
124	7861	55031
125	7931	55018
126	8012	55080
127	8103	55207
128	8215	55472
129	8298	55534
130	8355	55425
131	8433	55456
132	8526	55581
133	8608	55632
134	8704	55771
135	8758	55642
136	8836	55663
137	8912	55672
138	8974	55589
139	9055	55628
140	9125	55597
141	9175	55442
142	9247	55421
143	9310	55346
144	9382	55325
145	9440	55221
146	9507	55172
147	9579	55146
148	9666	55208
149	9743	55210
150	9809	55152
151	9868	55055
152	9939	55023
153	10008	54982
154	10097	55045
155	10194	55153
156	10272	55158
157	10338	55092
158	10414	55087
159	10508	55171
160	10583	55154
161	10645	55066
162	10726	55080
163	10811	55110
164	10913	55228
165	10987	55203
166	11043	55084
167	11113	55039
168	11192	55034
169	11262	54985
170	11348	55016
171	11432	55034
172	11498	54964
173	11582	54981
174	11643	54889
175	11709	54823
176	11773	54744
177	11821	54590
178	11912	54638
179	11974	54550
180	12035	54456
181	12106	54413
182	12169	54328
183	12260	54373
184	12340	54366
185	12411	54318
186	12472	54224
187	12547	54193
188	12618	54147
189	12681	54065
190	12753	54016
191	12841	54042
192	12906	53965
193	12981	53934
194	13044	53848
195	13143	53916
196	13231	53931
197	13295	53853
198	13366	53801
199	13424	53696
200	13513	53717
201	13598	53719
202	13689	53745
203	13755	53672
204	13824	53613
205	13894	53552
206	13955	53461
207	14026	53409
208	14084	53307
209	14188	53374
210	14330	53586
211	14398	53520
212	14473	53476
213	14552	53449
214	14602	53315
215	14661	53215
216	14733	53161
217	14804	53105
218	14883	53079
219	14953	53018
220	15051	53055
221	15142	53066
222	15203	52972
223	15285	52952
224	15367	52932
225	15447	52902
226	15526	52870
227	15590	52789
228	15677	52782
229	15752	52734
230	15846	52752
231	15917	52691
232	16006	52691
233	16087	52663
234	16160	52609
235	16228	52536
