iter
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16	4319	16008
17
18
19
20
21
22
23
24
25
26	6849	13446
27
28
29
30
31
32
33
34
35
36
37
38	10014	10528
39
40
41
42
43
44
45
46
47	12436	8290
48
49
50
51
52
53
54
55
56	14867	5999
57
58
59
60
61
62
63
64
65
66
67
68
69
70	18569	2353
71
72
73
74
75
76
77
78
79	20936	0
